C.D.S.  -  SIMBAD4 rel 1.6  -  2018.04.29CEST19:43:33

coord 05 38 55.526-69 04 26.72 (ICRS, J2000, 2000.0), radius: 10 arcmin
-----------------------------------------------------------------------

Number of objects : 3343

 #  |dist(asec)|          identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|----------|------------------------------|---|---------------------------|------|------|------|------|------|-----------------------------------|----|----
41  |     26.39|[IBC2013] 91                  |cor|05 38 50.81 -69 04 19.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
42  |     26.44|[IBC2013] 80                  |cor|05 38 50.82 -69 04 34.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
43  |     27.13|[IBC2013] 90                  |cor|05 38 50.61 -69 04 20.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
44  |     27.36|[AMO2014] 2                   |cor|05 38 52.17 -69 04 06.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
45  |     27.90|[MMM2008] 30 Dor 1            |MoC|05 38 50.8 -69 04 15       |     ~|     ~|     ~|     ~|     ~|~                                  |  17|   0
46  |     28.27|[IBC2013] 68                  |cor|05 38 54.29 -69 04 54.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
47  |     28.49|VFTS 676                      |*  |05 38 54.620 -69 04 54.79  |     ~|16.59 |16.52 |     ~|     ~|B0.7V                              |   6|   0
48  |     28.53|[IBC2013] 87                  |cor|05 38 50.26 -69 04 22.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
49  |     28.99|2MASS J05385131-6904084       |SB*|05 38 51.319 -69 04 08.48  |14.264|15.263|14.368|     ~|14.376|O7-8II(f)                          |   6|   0
50  |     29.86|[IBC2013] 65                  |cor|05 38 52.23 -69 04 50.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
51  |     29.93|[IBC2013] 81                  |cor|05 38 50.08 -69 04 33.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
52  |     30.09|[IBC2013] 85                  |cor|05 38 49.91 -69 04 27.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
53  |     31.44|[IBC2013] 83                  |cor|05 38 49.66 -69 04 25.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
54  |     32.31|[IBC2013] 58                  |cor|05 38 50.49 -69 04 44.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
55  |     32.39|[IBC2013] 96                  |cor|05 38 49.76 -69 04 17.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
56  |     32.85|[IBC2013] 86                  |cor|05 38 49.43 -69 04 23.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
57  |     32.97|[IBC2013] 67                  |cor|05 38 54.71 -69 04 59.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
58  |     33.16|[IBC2013] 82                  |cor|05 38 49.34 -69 04 27.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
59  |     33.80|Dor IRS 140                   |IR |05 38 51.8 -69 04 54       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
60  |     33.89|[IBC2013] 56                  |cor|05 38 51.13 -69 04 51.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
61  |     34.53|[IBC2013] 57                  |cor|05 38 50.14 -69 04 45.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
62  |     34.81|[WWJ83] Maser 0539-691        |Mas|05 38 49.6 -69 04 41       |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
63  |     34.82|[P93] 1820                    |*  |05 38 58.183 -69 04 58.50  |     ~|16.86 |16.60 |     ~|     ~|B0.7V                              |   5|   0
64  |     35.12|[MMM2008] 30 Dor 3            |MoC|05 38 49.0 -69 04 30       |     ~|     ~|     ~|     ~|     ~|~                                  |   3|   0
65  |     35.61|[IBC2013] 84                  |cor|05 38 48.88 -69 04 26.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
66  |     35.66|[IBC2013] 66                  |cor|05 38 54.85 -69 05 02.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
67  |     36.55|[IBC2013] 97                  |cor|05 38 48.92 -69 04 17.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
68  |     36.61|[IBC2013] 52                  |cor|05 38 49.35 -69 04 42.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
69  |     36.68|VFTS 679                      |*  |05 38 54.850 -69 03 50.22  |     ~|16.98 |16.73 |     ~|     ~|O9.5V                              |   7|   0
70  |     36.92|[IBC2013] 54                  |cor|05 38 49.00 -69 04 38.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
71  |     36.99|RRG 30 Dor N IRS 7b           |IR |05 38 49.13 -69 04 12.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
72  |     37.08|Dor IRS 146                   |IR |05 38 54.1 -69 05 03       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
73  |     37.39|[IBC2013] 64                  |cor|05 38 48.59 -69 04 30.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
74  |     37.94|RRG 30 Dor N IRS 7            |IR |05 38 49.0 -69 04 12       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
75  |     38.10|[RBW98] IRSN-147              |IR |05 38 48.86 -69 04 40.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
76  |     38.11|[P93] 1696                    |** |05 38 54.730 -69 03 48.85  |     ~|17.08 |16.68 |     ~|     ~|O9.5V                              |   7|   0
77  |     38.22|2MASS J05384921-6904445       |Y*O|05 38 49.215 -69 04 44.55  |     ~|     ~|     ~|     ~|     ~|~                                  |   8|   0
78  |     38.43|[IBC2013] 53                  |cor|05 38 49.41 -69 04 46.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
79  |     38.45|VFTS 634                      |** |05 38 49.010 -69 04 10.60  |     ~|16.81 |16.50 |     ~|     ~|OV                                 |   6|   0
80  |     38.76|[AMO2014] 6                   |cor|05 38 49.03 -69 04 43.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
81  |     38.78|[RBW98] IRSN-146              |IR |05 38 48.81 -69 04 41.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
82  |     39.56|MCRX J053848.6-690412         |X  |05 38 48.6 -69 04 13       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
83  |     39.67|[IBC2013] 51                  |cor|05 38 48.74 -69 04 42.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
84  |     39.70|VFTS 699                      |*  |05 38 57.480 -69 03 48.43  |     ~|16.14 |16.19 |     ~|     ~|B0.2-0.5Vn                         |   5|   0
85  |     39.87|[IBC2013] 60                  |cor|05 38 48.13 -69 04 31.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
86  |     40.04|[IBC2013] 101                 |cor|05 38 48.92 -69 04 08.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
87  |     40.67|RRG 30 Dor N IRS 6a           |Y*O|05 38 48.45 -69 04 12.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   5|   0
88  |     40.87|[GC2009] J053848.42-690441.6  |IR |05 38 48.42 -69 04 41.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   4|   0
89  |     41.10|[IBC2013] 55                  |cor|05 38 48.95 -69 04 47.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
90  |     41.26|[IBC2013] 98                  |cor|05 38 48.17 -69 04 14.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
91  |     41.27|[IBC2013] 61                  |cor|05 38 47.86 -69 04 30.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
92  |     41.30|30Dor-NIC 14b                 |IR |05 38 48.82 -69 04 47.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
93  |     41.62|MCRX J053848.3-690442         |X  |05 38 48.3 -69 04 42       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
94  |     41.72|Dor IRS 130                   |IR |05 38 48.0 -69 04 16       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
95  |     41.72|Dor IRS 129                   |Y*O|05 38 48.0 -69 04 16       |     ~|     ~|     ~|     ~|     ~|~                                  |   3|   0
96  |     41.82|[IBC2013] 50                  |cor|05 38 48.23 -69 04 41.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
97  |     41.83|30Dor-NIC 14a                 |IR |05 38 48.76 -69 04 47.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
98  |     41.86|[RBW98] IRSN-140              |IR |05 38 48.25 -69 04 42.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
99  |     42.05|30Dor-NIC 15a                 |Y*O|05 38 48.30 -69 04 10.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
100 |     42.09|RRG 30 Dor N IRS 6            |Y*O|05 38 48.1 -69 04 13       |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
101 |     42.14|30Dor-NIC 15b                 |IR |05 38 48.20 -69 04 11.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   6|   0
102 |     42.33|2MASS J05384813-6904117       |Y*O|05 38 48.138 -69 04 11.72  |     ~|     ~|     ~|     ~|     ~|~                                  |   4|   0
103 |     42.36|Dor IRS 168                   |IR |05 39 03.3 -69 04 19       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
104 |     42.43|Dor IRS 156                   |IR |05 38 56.2 -69 05 09       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
105 |     42.69|NAME Walborn 2                |** |05 38 48.1018 -69 04 42.239|     ~|15.66 |15.39 |     ~|     ~|O2V((f*))z                         |  20|   0
106 |     42.93|NAME WMB1 Cluster             |Cl*|05 38 48.0 -69 04 12       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   1
107 |     43.20|[IBC2013] 63                  |cor|05 38 47.48 -69 04 29.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
108 |     43.51|RRG 30 Dor N IRS 2            |*  |05 38 48.20 -69 04 45.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   3|   0
109 |     43.60|[IBC2013] 103                 |cor|05 38 47.76 -69 04 13.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
110 |     43.67|[BGB2001] 2b                  |IR |05 38 48.00 -69 04 43.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
111 |     43.84|[IBC2013] 35                  |cor|05 38 48.35 -69 04 47.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
112 |     43.90|[BGB2001] 2c                  |IR |05 38 47.96 -69 04 43.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
113 |     44.01|[IBC2013] 49                  |cor|05 38 47.78 -69 04 41.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
114 |     44.06|Dor IRS 139                   |IR |05 38 51.8 -69 05 06       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
115 |     44.12|[IBC2013] 59                  |cor|05 38 47.43 -69 04 34.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
116 |     44.27|NAME WBB2                     |Cl*|05 38 48.0 -69 04 45       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   1
117 |     44.61|RRG 30 Dor N IRS 5            |*  |05 38 47.50 -69 04 38.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   4|   0
118 |     44.68|[RBW98] IRSN-163              |IR |05 38 50.90 -69 05 03.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
119 |     45.31|2MASS J05384767-6904098       |IR |05 38 47.676 -69 04 09.86  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
120 |     45.46|[P93] 1799                    |*  |05 38 57.162 -69 03 42.12  |     ~|16.73 |16.55 |     ~|     ~|B1-2Ve                             |   5|   0
121 |     45.53|VFTS 647                      |*  |05 38 50.330 -69 05 02.76  |     ~|16.39 |16.29 |     ~|     ~|O8:V:                              |   6|   0
122 |     45.67|[RBW98] IRSN-153              |IR |05 38 49.44 -69 04 58.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
123 |     46.18|[RBW98] IRSN-131              |IR |05 38 47.31 -69 04 40.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
124 |     46.41|[IBC2013] 33                  |cor|05 38 48.49 -69 04 53.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
125 |     46.66|[IBC2013] 99                  |cor|05 38 47.28 -69 04 11.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
126 |     46.69|CXOU J053902.7-690452         |X  |05 39 02.749 -69 04 52.86  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
127 |     46.76|[IBC2013] 40                  |cor|05 38 47.13 -69 04 39.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
128 |     46.85|[IBC2013] 102                 |cor|05 38 47.35 -69 04 10.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
129 |     46.98|[KKB2007] 30 Dor-34           |Y*?|05 38 59.500 -69 05 08.60  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
130 |     47.08|[IBC2013] 100                 |cor|05 38 47.21 -69 04 11.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
131 |     47.33|[IBC2013] 43                  |cor|05 38 47.17 -69 04 42.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
132 |     47.81|[IBC2013] 62                  |cor|05 38 46.63 -69 04 30.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
133 |     48.13|2MASS J05384654-6904279       |SB*|05 38 46.544 -69 04 27.90  |     ~|14.03 |13.99 |     ~|     ~|O4III(fc)                          |  10|   0
134 |     48.26|[IBC2013] 34                  |cor|05 38 47.73 -69 04 50.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
135 |     48.28|[AMO2014] 11                  |cor|05 38 47.47 -69 04 05.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
136 |     48.42|[RBW98] IRSN-125              |IR |05 38 46.89 -69 04 41.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
137 |     48.80|[VPT2002] 30 Dor 4            |HII|05 38 54.2 -69 05 15       |     ~|     ~|     ~|     ~|     ~|~                                  |   7|   0
138 |     48.80|[GSL2002] 115                 |HII|05 38 54.2 -69 05 15       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
139 |     48.80|[GSL2002] 116                 |HII|05 38 54.2 -69 05 15       |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
140 |     48.82|[IBC2013] 36                  |cor|05 38 47.28 -69 04 47.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
141 |     48.90|[P93] 1455                    |*  |05 38 48.650 -69 04 58.89  |     ~|16.38 |16.21 |     ~|     ~|O9.7V-III                          |   5|   0
142 |     49.14|[IBC2013] 42                  |cor|05 38 46.76 -69 04 41.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
143 |     49.35|[GC2009] J053904.42-690413.9  |Y*O|05 39 04.42 -69 04 13.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
144 |     49.37|[AMO2014] 8                   |cor|05 38 46.80 -69 04 42.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
145 |     49.68|VFTS 602                      |*  |05 38 46.340 -69 04 33.50  |     ~|16.8  |16.71 |     ~|     ~|B0.7V                              |   5|   0
146 |     49.79|[KKB2007] 30 Dor-36           |Y*?|05 39 04.500 -69 04 13.80  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
147 |     49.79|[IBC2013] 32                  |cor|05 38 47.75 -69 04 54.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
148 |     50.25|[IBC2013] 41                  |cor|05 38 46.49 -69 04 40.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
149 |     50.30|30Dor-NIC 12e                 |IR |05 38 48.87 -69 05 02.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
150 |     50.41|[IBC2013] 26                  |cor|05 38 48.16 -69 04 58.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
151 |     50.57|[IBC2013] 31                  |cor|05 38 47.65 -69 04 54.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
152 |     50.64|[IBC2013] 39                  |cor|05 38 46.71 -69 04 45.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
153 |     51.12|LWKHK d                       |Mas|05 38 46.65 -69 04 45.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   1
154 |     51.20|[IBC2013] 29                  |cor|05 38 48.36 -69 05 00.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
155 |     52.05|[IBC2013] 30                  |cor|05 38 47.15 -69 04 53.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
156 |     52.32|W61 7-29                      |s*b|05 39 04.777 -69 04 09.96  |12.403|13.154|12.756|     ~|     ~|B1Ia                               |  11|   0
157 |     52.48|Dor IRS 134                   |IR |05 38 50.4 -69 03 42       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
158 |     52.67|[IBC2013] 22                  |cor|05 38 47.60 -69 04 57.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
159 |     52.97|2MASS J05390537-6904310       |*  |05 39 05.38 -69 04 31.1    |     ~|15.83 |15.70 |     ~|     ~|O9V                                |   6|   0
160 |     53.11|[IBC2013] 47                  |cor|05 38 45.85 -69 04 38.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
161 |     53.42|VFTS 736                      |*  |05 39 05.299 -69 04 16.12  |     ~|15.9  |15.85 |     ~|     ~|O9.5V                              |   7|   0
162 |     53.58|[IBC2013] 48                  |cor|05 38 45.60 -69 04 33.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
