C.D.S.  -  SIMBAD4 rel 1.6  -  2018.04.29CEST19:43:33

coord 05 38 55.526-69 04 26.72 (ICRS, J2000, 2000.0), radius: 10 arcmin
-----------------------------------------------------------------------

Number of objects : 3343

 #  |dist(asec)|          identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|----------|------------------------------|---|---------------------------|------|------|------|------|------|-----------------------------------|----|----
748 |    114.46|CXOU J053844.9-690606         |X  |05 38 44.943 -69 06 06.17  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
749 |    114.48|Cl* NGC 2070 MH 841           |*iC|05 38 43.90 -69 06 02.8    |     ~|     ~|18.84 |     ~|     ~|~                                  |   0|   0
750 |    114.49|VFTS 504                      |*  |05 38 41.390 -69 03 00.89  |     ~|16.88 |16.27 |     ~|     ~|B0.7V                              |   8|   0
751 |    114.50|Cl* NGC 2070 MH 599           |*iC|05 38 42.64 -69 05 58.1    |     ~|18.32 |     ~|     ~|     ~|~                                  |   0|   0
752 |    114.53|Cl* NGC 2070 MH 642           |*iC|05 38 42.78 -69 05 58.7    |     ~|18.45 |18.30 |     ~|     ~|~                                  |   0|   0
753 |    114.56|Cl* NGC 2070 MH 626           |*iC|05 38 42.72 -69 05 58.5    |     ~|18.52 |     ~|     ~|     ~|~                                  |   0|   0
754 |    114.59|Cl* NGC 2070 MH 696           |*iC|05 38 42.99 -69 05 59.6    |     ~|17.85 |18.18 |     ~|     ~|~                                  |   0|   0
755 |    114.63|Cl* NGC 2070 MH 733           |*iC|05 38 43.16 -69 06 00.3    |     ~|17.54 |17.82 |     ~|     ~|~                                  |   0|   0
756 |    114.65|Cl* NGC 2070 MH 316           |*iC|05 38 42.00 -69 05 55.6    |     ~|18.09 |     ~|     ~|     ~|~                                  |   0|   0
757 |    114.70|Cl* NGC 2070 MH 787           |*iC|05 38 43.57 -69 06 01.9    |     ~|17.85 |18.10 |     ~|     ~|~                                  |   0|   0
758 |    114.71|[P93] 980                     |*  |05 38 42.8 -69 05 59       |     ~|14.73 |15.10 |     ~|     ~|~                                  |   0|   0
759 |    114.71|Cl* NGC 2070 MH 250           |*iC|05 38 41.69 -69 05 54.3    |     ~|17.39 |17.34 |     ~|     ~|~                                  |   0|   0
760 |    114.71|[P93] 841                     |*  |05 38 41.2207 -69 05 52.112|     ~|15.35 |15.18 |     ~|     ~|O4-6(n)(f)p                        |   2|   0
761 |    114.73|CXOU J053844.5-690605         |X  |05 38 44.523 -69 06 05.17  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
762 |    114.74|Cl* NGC 2070 MH 210           |*iC|05 38 41.55 -69 05 53.7    |     ~|17.27 |17.45 |     ~|     ~|~                                  |   0|   0
763 |    114.75|Cl* NGC 2070 MH 687           |*iC|05 38 42.94 -69 05 59.6    |     ~|18.21 |     ~|     ~|     ~|~                                  |   0|   0
764 |    114.77|Cl* NGC 2070 MH 797           |*iC|05 38 43.63 -69 06 02.2    |     ~|17.84 |18.15 |     ~|     ~|~                                  |   0|   0
765 |    114.83|Cl* NGC 2070 MH 730           |*iC|05 38 43.15 -69 06 00.5    |     ~|17.67 |18.18 |     ~|     ~|~                                  |   0|   0
766 |    114.85|Cl* NGC 2070 MH 448           |*iC|05 38 42.29 -69 05 57.1    |     ~|17.96 |18.46 |     ~|     ~|~                                  |   0|   0
767 |    114.88|Cl* NGC 2070 MH 709           |*iC|05 38 43.03 -69 06 00.1    |     ~|17.50 |18.13 |     ~|     ~|~                                  |   0|   0
768 |    114.89|Cl* NGC 2070 MH 850           |*iC|05 38 43.99 -69 06 03.6    |     ~|     ~|19.34 |     ~|     ~|~                                  |   0|   0
769 |    114.89|Cl* NGC 2070 MH 713           |*iC|05 38 43.05 -69 06 00.2    |     ~|     ~|18.70 |     ~|     ~|~                                  |   0|   0
770 |    114.93|[GC2009] J053834.62-690401.0  |IR |05 38 34.62 -69 04 01.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
771 |    114.94|Cl* NGC 2070 MH 264           |*iC|05 38 41.78 -69 05 55.0    |     ~|18.06 |18.90 |     ~|     ~|~                                  |   0|   0
772 |    114.97|Cl* NGC 2070 MH 792           |*iC|05 38 43.62 -69 06 02.4    |     ~|     ~|21.03 |     ~|     ~|~                                  |   0|   0
773 |    115.01|Cl* NGC 2070 MH 737           |*iC|05 38 43.17 -69 06 00.8    |     ~|16.96 |16.75 |     ~|     ~|~                                  |   0|   0
774 |    115.03|Cl* NGC 2070 MH 362           |*iC|05 38 42.12 -69 05 56.6    |     ~|18.01 |     ~|     ~|     ~|~                                  |   0|   0
775 |    115.03|Cl* NGC 2070 MH 300           |*iC|05 38 41.91 -69 05 55.7    |     ~|16.66 |16.73 |     ~|     ~|~                                  |   0|   0
776 |    115.05|Cl* NGC 2070 MH 565           |*iC|05 38 42.57 -69 05 58.5    |     ~|16.02 |16.18 |     ~|     ~|~                                  |   0|   0
777 |    115.06|Cl* NGC 2070 MH 578           |*iC|05 38 42.59 -69 05 58.6    |     ~|15.92 |16.18 |     ~|     ~|~                                  |   0|   0
778 |    115.06|Cl* NGC 2070 MH 739           |*iC|05 38 43.18 -69 06 00.9    |     ~|     ~|18.71 |     ~|     ~|~                                  |   0|   0
779 |    115.09|Cl* NGC 2070 MH 769           |*iC|05 38 43.44 -69 06 01.9    |     ~|     ~|18.92 |     ~|     ~|~                                  |   0|   0
780 |    115.12|Cl* NGC 2070 MH 84            |*iC|05 38 40.78 -69 05 50.5    |     ~|16.72 |16.73 |     ~|     ~|~                                  |   0|   0
781 |    115.14|Cl* NGC 2070 MH 726           |*iC|05 38 43.13 -69 06 00.8    |     ~|17.59 |17.84 |     ~|     ~|~                                  |   0|   0
782 |    115.19|Cl* NGC 2070 MH 341           |*iC|05 38 42.07 -69 05 56.6    |     ~|     ~|18.30 |     ~|     ~|~                                  |   0|   0
783 |    115.23|Cl* NGC 2070 MH 337           |*iC|05 38 42.06 -69 05 56.6    |     ~|17.62 |     ~|     ~|     ~|~                                  |   0|   0
784 |    115.24|Cl* NGC 2070 MH 689           |*iC|05 38 42.94 -69 06 00.2    |     ~|18.35 |     ~|     ~|     ~|~                                  |   0|   0
785 |    115.24|Cl* NGC 2070 MH 781           |*iC|05 38 43.53 -69 06 02.4    |     ~|18.25 |18.43 |     ~|     ~|~                                  |   0|   0
786 |    115.24|Cl* NGC 2070 MH 184           |*iC|05 38 41.45 -69 05 53.9    |     ~|18.04 |18.45 |     ~|     ~|~                                  |   0|   0
787 |    115.27|Cl* NGC 2070 MH 954           |*iC|05 38 45.49 -69 06 08.7    |     ~|     ~|18.67 |     ~|     ~|~                                  |   0|   0
788 |    115.28|Cl* NGC 2070 MH 76            |*iC|05 38 40.62 -69 05 49.9    |     ~|18.70 |     ~|     ~|     ~|~                                  |   0|   0
789 |    115.33|Cl* NGC 2070 MH 220           |*iC|05 38 41.60 -69 05 54.7    |     ~|18.09 |     ~|     ~|     ~|~                                  |   0|   0
790 |    115.33|Cl* NGC 2070 MH 270           |*iC|05 38 41.80 -69 05 55.6    |     ~|16.55 |16.80 |     ~|     ~|~                                  |   0|   0
791 |    115.36|Cl* NGC 2070 MH 385           |*iC|05 38 42.16 -69 05 57.2    |     ~|18.22 |     ~|     ~|     ~|~                                  |   0|   0
792 |    115.38|Cl* NGC 2070 MH 596           |*iC|05 38 42.64 -69 05 59.2    |     ~|18.21 |     ~|     ~|     ~|~                                  |   0|   0
793 |    115.39|Cl* NGC 2070 MH 238           |*iC|05 38 41.67 -69 05 55.1    |     ~|16.17 |16.51 |     ~|     ~|~                                  |   0|   0
794 |    115.40|Cl* NGC 2070 MH 688           |*iC|05 38 42.94 -69 06 00.4    |     ~|18.30 |     ~|     ~|     ~|~                                  |   0|   0
795 |    115.43|CXOU J053841.7-690555         |X  |05 38 41.728 -69 05 55.41  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
796 |    115.45|Cl* NGC 2070 MH 790           |*iC|05 38 43.60 -69 06 02.9    |     ~|18.71 |19.21 |     ~|     ~|~                                  |   0|   0
797 |    115.45|Cl* NGC 2070 MH 550           |*iC|05 38 42.52 -69 05 58.8    |     ~|17.16 |     ~|     ~|     ~|~                                  |   0|   0
798 |    115.45|Cl* NGC 2070 MH 453           |*iC|05 38 42.30 -69 05 57.9    |     ~|18.63 |     ~|     ~|     ~|~                                  |   0|   0
799 |    115.46|Cl* NGC 2070 MH 160           |*iC|05 38 41.26 -69 05 53.3    |     ~|18.29 |18.34 |     ~|     ~|~                                  |   0|   0
800 |    115.46|CXOU J053844.0-690604         |X  |05 38 44.037 -69 06 04.43  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
801 |    115.47|Cl* NGC 2070 MH 646           |*iC|05 38 42.79 -69 05 59.9    |     ~|18.05 |17.71 |     ~|     ~|~                                  |   0|   0
802 |    115.50|Cl* NGC 2070 MH 641           |*iC|05 38 42.78 -69 05 59.9    |     ~|18.09 |     ~|     ~|     ~|~                                  |   0|   0
803 |    115.51|2MASS J05384588-6902433       |LP*|05 38 45.89 -69 02 43.4    |     ~|18.11 |16.392|     ~|14.625|~                                  |   2|   0
804 |    115.52|Cl* NGC 2070 MH 435           |*iC|05 38 42.28 -69 05 57.9    |     ~|16.95 |17.24 |     ~|     ~|~                                  |   0|   0
805 |    115.54|Cl* NGC 2070 MH 812           |*iC|05 38 43.71 -69 06 03.4    |     ~|17.60 |17.71 |     ~|     ~|~                                  |   0|   0
806 |    115.54|Cl* NGC 2070 MH 848           |*iC|05 38 43.97 -69 06 04.3    |     ~|     ~|19.10 |     ~|     ~|~                                  |   0|   0
807 |    115.55|Cl* NGC 2070 MH 664           |*iC|05 38 42.84 -69 06 00.2    |     ~|18.03 |     ~|     ~|     ~|~                                  |   0|   0
808 |    115.55|Cl* NGC 2070 MH 384           |*iC|05 38 42.15 -69 05 57.4    |     ~|17.61 |18.01 |     ~|     ~|~                                  |   0|   0
809 |    115.56|Cl* NGC 2070 MH 323           |*iC|05 38 42.03 -69 05 56.9    |     ~|18.21 |     ~|     ~|     ~|~                                  |   0|   0
810 |    115.57|Cl* NGC 2070 MH 840           |*iC|05 38 43.90 -69 06 04.1    |     ~|17.85 |17.99 |     ~|     ~|~                                  |   0|   0
811 |    115.58|Cl* NGC 2070 MH 515           |*iC|05 38 42.43 -69 05 58.6    |     ~|18.21 |     ~|     ~|     ~|~                                  |   0|   0
812 |    115.59|Cl* NGC 2070 MEL 55           |*iC|05 38 33.977 -69 04 21.12  |13.198|14.245|14.274|     ~|13.858|O6Vnn                              |   7|   0
813 |    115.59|CXOU J053844.7-690606         |X  |05 38 44.726 -69 06 06.81  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
814 |    115.60|Cl* NGC 2070 MH 112           |*iC|05 38 40.95 -69 05 52.0    |     ~|18.08 |18.36 |     ~|     ~|~                                  |   0|   0
815 |    115.62|Cl* NGC 2070 MH 334           |*iC|05 38 42.06 -69 05 57.1    |     ~|18.27 |     ~|     ~|     ~|~                                  |   0|   0
816 |    115.64|Cl* NGC 2070 MH 563           |*iC|05 38 42.56 -69 05 59.2    |     ~|17.78 |     ~|     ~|     ~|~                                  |   0|   0
817 |    115.64|Cl* NGC 2070 MH 549           |*iC|05 38 42.51 -69 05 59.0    |     ~|17.71 |     ~|     ~|     ~|~                                  |   0|   0
818 |    115.65|Cl* NGC 2070 MH 159           |*iC|05 38 41.25 -69 05 53.5    |     ~|18.62 |     ~|     ~|     ~|~                                  |   0|   0
819 |    115.67|Cl* NGC 2070 MH 561           |*iC|05 38 42.55 -69 05 59.2    |     ~|18.11 |     ~|     ~|     ~|~                                  |   0|   0
820 |    115.67|[P93] 960                     |*  |05 38 42.5 -69 05 59       |     ~|14.26 |14.97 |     ~|     ~|~                                  |   0|   0
821 |    115.70|Cl* NGC 2070 MH 482           |*iC|05 38 42.37 -69 05 58.5    |     ~|18.47 |     ~|     ~|     ~|~                                  |   0|   0
822 |    115.72|Cl* NGC 2070 MH 604           |*iC|05 38 42.66 -69 05 59.7    |     ~|16.12 |16.44 |     ~|     ~|~                                  |   0|   0
823 |    115.73|Cl* NGC 2070 MH 417           |*iC|05 38 42.24 -69 05 58.0    |     ~|17.66 |18.24 |     ~|     ~|~                                  |   0|   0
824 |    115.75|Cl* NGC 2070 MH 523           |*iC|05 38 42.45 -69 05 58.9    |     ~|18.29 |     ~|     ~|     ~|~                                  |   0|   0
825 |    115.76|[P93] 1235                    |*  |05 38 45.4 -69 06 09       |     ~|16.928|16.938|     ~|     ~|B0III                              |   1|   0
826 |    115.79|Cl* NGC 2070 MH 647           |*iC|05 38 42.79 -69 06 00.3    |     ~|16.08 |16.16 |     ~|     ~|~                                  |   0|   0
827 |    115.82|Cl* NGC 2070 MH 680           |*iC|05 38 42.91 -69 06 00.8    |     ~|16.74 |16.79 |     ~|     ~|~                                  |   0|   0
828 |    115.83|[P93] 972                     |*  |05 38 42.7 -69 06 00       |     ~|14.36 |14.11 |     ~|     ~|~                                  |   0|   0
829 |    115.86|Cl* NGC 2070 MH 576           |*iC|05 38 42.59 -69 05 59.6    |     ~|18.15 |     ~|     ~|     ~|~                                  |   0|   0
830 |    115.86|Cl* NGC 2070 MH 772           |*iC|05 38 43.46 -69 06 02.9    |     ~|17.82 |18.16 |     ~|     ~|~                                  |   0|   0
831 |    115.89|[KKB2007] 30 Dor-22           |Y*?|05 38 44.300 -69 06 05.80  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
832 |    115.90|Cl* NGC 2070 MH 288           |*iC|05 38 41.86 -69 05 56.6    |     ~|17.78 |18.41 |     ~|     ~|~                                  |   0|   0
833 |    115.92|Cl* NGC 2070 MH 162           |*iC|05 38 41.28 -69 05 54.0    |     ~|17.24 |17.41 |     ~|     ~|~                                  |   0|   0
834 |    115.92|Cl* NGC 2070 MH 744           |*iC|05 38 43.164 -69 06 01.89  |     ~|15.14 |15.11 |     ~|     ~|~                                  |   2|   0
835 |    115.94|Cl* NGC 2070 MH 899           |*iC|05 38 44.50 -69 06 06.5    |     ~|17.88 |     ~|     ~|     ~|~                                  |   0|   0
836 |    115.96|Cl* NGC 2070 MH 447           |*iC|05 38 42.29 -69 05 58.5    |     ~|18.24 |     ~|     ~|     ~|~                                  |   0|   0
837 |    115.96|Cl* NGC 2070 MH 583           |*iC|05 38 42.61 -69 05 59.8    |     ~|17.34 |     ~|     ~|     ~|~                                  |   0|   0
838 |    115.96|Cl* NGC 2070 MH 942           |*iC|05 38 45.32 -69 06 09.0    |     ~|17.10 |     ~|     ~|     ~|~                                  |   0|   0
839 |    115.97|Cl* NGC 2070 MH 901           |*iC|05 38 44.52 -69 06 06.6    |     ~|     ~|19.03 |     ~|     ~|~                                  |   0|   0
840 |    115.97|Cl* NGC 2070 MH 458           |*iC|05 38 42.31 -69 05 58.6    |     ~|17.32 |17.67 |     ~|     ~|~                                  |   0|   0
841 |    115.97|Cl* NGC 2070 MH 573           |*iC|05 38 42.58 -69 05 59.7    |     ~|16.32 |16.72 |     ~|     ~|~                                  |   0|   0
842 |    115.99|Cl* NGC 2070 MH 782           |*iC|05 38 43.53 -69 06 03.3    |     ~|18.13 |18.37 |     ~|     ~|~                                  |   0|   0
843 |    115.99|Cl* NGC 2070 MH 777           |*iC|05 38 43.50 -69 06 03.2    |     ~|     ~|18.78 |     ~|     ~|~                                  |   0|   0
844 |    116.02|Brey 84                       |HXB|05 38 44.25 -69 06 05.8    |     ~|     ~|13.5  |     ~|     ~|WN5h:a                             |  27|   0
845 |    116.03|Cl* NGC 2070 MH 324           |*iC|05 38 42.03 -69 05 57.5    |     ~|18.37 |     ~|     ~|     ~|~                                  |   0|   0
846 |    116.06|Cl* NGC 2070 MH 408           |*iC|05 38 42.21 -69 05 58.3    |     ~|17.96 |19.51 |     ~|     ~|~                                  |   0|   0
847 |    116.06|Cl* NGC 2070 MH 711           |*iC|05 38 42.988 -69 06 01.40  |     ~|15.95 |16.08 |     ~|     ~|~                                  |   1|   0
848 |    116.07|[P93] 684                     |*  |05 38 38.940 -69 03 12.10  |     ~|16.4  |16.39 |     ~|     ~|B2V                                |   7|   0
849 |    116.08|Cl* NGC 2070 MH 802           |*iC|05 38 43.67 -69 06 03.9    |     ~|17.99 |18.38 |     ~|     ~|~                                  |   0|   0
850 |    116.09|Cl* NGC 2070 MH 945           |*iC|05 38 45.34 -69 06 09.2    |     ~|     ~|16.90 |     ~|     ~|~                                  |   0|   0
851 |    116.10|VFTS 411                      |*  |05 38 34.790 -69 05 00.54  |     ~|16.84 |16.93 |     ~|     ~|B1-3V-III                          |   3|   0
852 |    116.11|Cl* NGC 2070 MH 307           |*iC|05 38 41.96 -69 05 57.3    |     ~|18.69 |     ~|     ~|     ~|~                                  |   0|   0
853 |    116.11|Cl* NGC 2070 MH 699           |*iC|05 38 43.00 -69 06 01.5    |     ~|17.96 |18.46 |     ~|     ~|~                                  |   0|   0
854 |    116.13|Cl* NGC 2070 MH 125           |*iC|05 38 41.01 -69 05 53.0    |     ~|18.84 |     ~|     ~|     ~|~                                  |   0|   0
855 |    116.14|Cl* NGC 2070 MH 204           |*iC|05 38 41.52 -69 05 55.4    |     ~|16.85 |17.15 |     ~|     ~|~                                  |   0|   0
856 |    116.15|Cl* NGC 2070 MH 544           |*iC|05 38 42.50 -69 05 59.6    |     ~|16.69 |17.08 |     ~|     ~|~                                  |   0|   0
857 |    116.16|W61 7-14                      |SB*|05 38 51.040 -69 06 20.37  |13.350|14.202|13.835|     ~|13.609|B2Ip+O9III:                        |  10|   0
858 |    116.25|Cl* NGC 2070 MH 131           |*iC|05 38 41.10 -69 05 53.6    |     ~|17.17 |17.38 |     ~|     ~|~                                  |   0|   0
859 |    116.27|LH 100                        |As*|05 38 40.0 -69 05 48       |     ~| 5.81 | 5.40 |     ~|     ~|~                                  |  11|   1
860 |    116.28|Cl* NGC 2070 MH 958           |*iC|05 38 45.62 -69 06 10.2    |     ~|     ~|19.28 |     ~|     ~|~                                  |   0|   0
861 |    116.28|Cl* NGC 2070 MH 477           |*iC|05 38 42.36 -69 05 59.2    |     ~|17.56 |     ~|     ~|     ~|~                                  |   0|   0
862 |    116.29|OGLE LMC-ECL-21479            |EB*|05 38 46.771 -69 02 40.32  |     ~|16.72 |16.85 |     ~|16.824|B1-2V                              |   6|   0
863 |    116.30|Cl* NGC 2070 MH 669           |*iC|05 38 42.86 -69 06 01.2    |     ~|16.55 |16.92 |     ~|     ~|~                                  |   0|   0
864 |    116.31|Cl* NGC 2070 MH 150           |*iC|05 38 41.21 -69 05 54.2    |     ~|16.05 |16.24 |     ~|     ~|~                                  |   0|   0
865 |    116.32|Cl* NGC 2070 MH 247           |*iC|05 38 41.69 -69 05 56.4    |     ~|18.13 |     ~|     ~|     ~|~                                  |   0|   0
866 |    116.33|Cl* NGC 2070 MH 507           |*iC|05 38 42.42 -69 05 59.5    |     ~|17.28 |17.87 |     ~|     ~|~                                  |   0|   0
867 |    116.37|Cl* NGC 2070 MH 765           |*iC|05 38 43.40 -69 06 03.3    |     ~|17.48 |17.66 |     ~|     ~|~                                  |   0|   0
868 |    116.39|Cl* NGC 2070 MH 678           |*iC|05 38 42.91 -69 06 01.5    |     ~|17.96 |     ~|     ~|     ~|~                                  |   0|   0
869 |    116.39|Cl* NGC 2070 MH 505           |*iC|05 38 42.428 -69 05 59.61  |     ~|16.03 |16.32 |     ~|     ~|~                                  |   1|   0
870 |    116.45|Cl* NGC 2070 MH 534           |*iC|05 38 42.48 -69 05 59.9    |     ~|16.58 |17.07 |     ~|     ~|~                                  |   0|   0
871 |    116.47|Cl* NGC 2070 MH 908           |*iC|05 38 44.62 -69 06 07.5    |     ~|19.03 |     ~|     ~|     ~|~                                  |   0|   0
872 |    116.49|Cl* NGC 2070 MH 256           |*iC|05 38 41.73 -69 05 56.8    |     ~|18.65 |     ~|     ~|     ~|~                                  |   0|   0
873 |    116.51|Cl* NGC 2070 MH 910           |*iC|05 38 44.64 -69 06 07.6    |     ~|     ~|19.36 |     ~|     ~|~                                  |   0|   0
874 |    116.52|Cl* NGC 2070 MH 586           |*iC|05 38 42.61 -69 06 00.5    |     ~|17.76 |     ~|     ~|     ~|~                                  |   0|   0
875 |    116.53|Cl* NGC 2070 MH 619           |*iC|05 38 42.71 -69 06 00.9    |     ~|17.30 |18.10 |     ~|     ~|~                                  |   0|   0
876 |    116.53|Cl* NGC 2070 MH 694           |*iC|05 38 42.97 -69 06 01.9    |     ~|17.91 |     ~|     ~|     ~|~                                  |   0|   0
877 |    116.54|Cl* NGC 2070 MH 347           |*iC|05 38 42.09 -69 05 58.4    |     ~|17.88 |18.68 |     ~|     ~|~                                  |   0|   0
878 |    116.55|Cl* NGC 2070 MH 697           |*iC|05 38 42.99 -69 06 02.0    |     ~|17.31 |16.99 |     ~|     ~|~                                  |   0|   0
879 |    116.57|[KKB2007] 30 Dor-15           |Y*?|05 38 36.600 -69 05 24.30  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
880 |    116.59|[HSH95] 144                   |*  |05 38 41.91 -69 05 57.7    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
881 |    116.60|Cl* NGC 2070 MH 603           |*iC|05 38 42.659 -69 06 00.79  |     ~|15.05 |15.01 |     ~|     ~|~                                  |   2|   0
882 |    116.61|CXOU J053844.6-690607         |X  |05 38 44.634 -69 06 07.70  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
883 |    116.63|CXOU J053842.2-690559         |X  |05 38 42.291 -69 05 59.35  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
884 |    116.63|Cl* NGC 2070 MH 967           |*iC|05 38 45.92 -69 06 11.4    |     ~|     ~|19.06 |     ~|     ~|~                                  |   0|   0
885 |    116.63|Cl* NGC 2070 MH 102           |*iC|05 38 40.89 -69 05 53.1    |     ~|18.73 |     ~|     ~|     ~|~                                  |   0|   0
886 |    116.64|CXOU J053844.4-690607         |X  |05 38 44.462 -69 06 07.20  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
887 |    116.66|Cl* NGC 2070 MH 625           |*iC|05 38 42.72 -69 06 01.1    |     ~|17.21 |     ~|     ~|     ~|~                                  |   0|   0
888 |    116.66|Cl* NGC 2070 MH 957           |*iC|05 38 45.61 -69 06 10.6    |     ~|     ~|20.27 |     ~|     ~|~                                  |   0|   0
889 |    116.66|VFTS 403                      |*  |05 38 33.820 -69 04 36.17  |     ~|17.31 |17.12 |     ~|     ~|B1-2V                              |   5|   0
890 |    116.68|CXOU J053842.8-690601         |X  |05 38 42.873 -69 06 01.72  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
891 |    116.71|Cl* NGC 2070 MH 912           |*iC|05 38 44.66 -69 06 07.9    |     ~|18.18 |18.17 |     ~|     ~|~                                  |   0|   0
892 |    116.75|Cl* NGC 2070 MH 707           |*iC|05 38 43.03 -69 06 02.4    |     ~|17.99 |18.63 |     ~|     ~|~                                  |   0|   0
893 |    116.77|Cl* NGC 2070 MH 715           |*iC|05 38 43.05 -69 06 02.5    |     ~|18.07 |     ~|     ~|     ~|~                                  |   0|   0
894 |    116.78|Cl* NGC 2070 MH 554           |*iC|05 38 42.53 -69 06 00.5    |     ~|     ~|19.19 |     ~|     ~|~                                  |   0|   0
895 |    116.78|Cl* NGC 2070 MH 595           |*iC|05 38 42.63 -69 06 00.9    |     ~|17.05 |     ~|     ~|     ~|~                                  |   0|   0
896 |    116.79|[HSH95] 146                   |*  |05 38 42.18 -69 05 59.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
897 |    116.79|Cl* NGC 2070 MH 500           |*iC|05 38 42.40 -69 06 00.0    |     ~|16.74 |16.60 |     ~|     ~|~                                  |   0|   0
898 |    116.81|CXOU J053842.5-690600         |X  |05 38 42.559 -69 06 00.66  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
899 |    116.81|CXOU J053843.8-690605         |X  |05 38 43.853 -69 06 05.41  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
900 |    116.82|Cl* NGC 2070 MH 239           |*iC|05 38 41.68 -69 05 57.0    |     ~|18.15 |     ~|     ~|     ~|~                                  |   0|   0
901 |    116.83|[P93] 2023                    |*  |05 39 07.962 -69 06 02.71  |     ~|16.94 |16.78 |     ~|     ~|B0.7V                              |   5|   0
902 |    116.83|[P93] 989                     |*  |05 38 42.9 -69 06 02       |     ~|14.94 |12.67 |     ~|     ~|~                                  |   0|   0
903 |    116.83|Cl* NGC 2070 MH 442           |*iC|05 38 42.29 -69 05 59.6    |     ~|15.77 |15.93 |     ~|     ~|~                                  |   0|   0
904 |    116.84|Cl* NGC 2070 MH 588           |*iC|05 38 42.61 -69 06 00.9    |     ~|17.30 |     ~|     ~|     ~|~                                  |   0|   0
905 |    116.84|CXOU J053843.2-690603         |X  |05 38 43.260 -69 06 03.36  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
906 |    116.84|Cl* NGC 2070 MH 718           |*iC|05 38 43.08 -69 06 02.7    |     ~|17.70 |     ~|     ~|     ~|~                                  |   0|   0
907 |    116.89|Cl* NGC 2070 MH 692           |*iC|05 38 42.96 -69 06 02.3    |     ~|     ~|16.83 |     ~|     ~|~                                  |   0|   0
908 |    116.89|Cl* NGC 2070 MH 508           |*  |05 38 42.42 -69 06 00.2    |     ~|14.44 |14.51 |     ~|     ~|O4                                 |   3|   0
909 |    116.90|Cl* NGC 2070 MH 868           |*iC|05 38 44.15 -69 06 06.5    |     ~|     ~|19.56 |     ~|     ~|~                                  |   0|   0
910 |    116.92|Cl* NGC 2070 MH 690           |*iC|05 38 42.95 -69 06 02.3    |     ~|16.52 |     ~|     ~|     ~|~                                  |   0|   0
911 |    116.92|Cl* NGC 2070 MH 294           |*iC|05 38 41.88 -69 05 58.0    |     ~|     ~|19.02 |     ~|     ~|~                                  |   0|   0
912 |    116.92|Cl* NGC 2070 MH 293           |*iC|05 38 41.88 -69 05 58.0    |     ~|17.18 |17.95 |     ~|     ~|~                                  |   0|   0
913 |    116.93|Cl* NGC 2070 MH 601           |*iC|05 38 42.66 -69 06 01.2    |     ~|18.49 |     ~|     ~|     ~|~                                  |   0|   0
914 |    116.93|Cl* NGC 2070 MH 111           |*iC|05 38 40.93 -69 05 53.7    |     ~|18.18 |     ~|     ~|     ~|~                                  |   0|   0
915 |    116.94|Cl* NGC 2070 MH 931           |*iC|05 38 45.04 -69 06 09.3    |     ~|20.22 |     ~|     ~|     ~|~                                  |   0|   0
916 |    116.96|Cl* NGC 2070 MH 915           |*iC|05 38 44.73 -69 06 08.4    |     ~|19.74 |20.07 |     ~|     ~|~                                  |   0|   0
917 |    116.98|Cl* NGC 2070 SMB 430          |*  |05 38 35.368 -69 05 11.76  |     ~|16.92 |16.89 |     ~|     ~|B1-3V-III                          |   5|   0
918 |    116.99|Cl* NGC 2070 MH 266           |*iC|05 38 41.79 -69 05 57.7    |     ~|18.36 |19.15 |     ~|     ~|~                                  |   0|   0
919 |    117.01|[M2002] LMC 171520            |SB*|05 38 41.227 -69 02 58.31  |     ~|14.11 |14.19 |14.28 |13.941|O6.5IV((fc))+O6.5V((fc))           |  10|   0
920 |    117.02|Cl* NGC 2070 MH 485           |*iC|05 38 42.38 -69 06 00.2    |     ~|     ~|17.11 |     ~|     ~|~                                  |   0|   0
921 |    117.02|Cl* NGC 2070 MH 593           |*iC|05 38 42.63 -69 06 01.2    |     ~|17.06 |     ~|     ~|     ~|~                                  |   0|   0
922 |    117.03|Cl* NGC 2070 MH 391           |*iC|05 38 42.18 -69 05 59.4    |     ~|18.11 |     ~|     ~|     ~|~                                  |   0|   0
