solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
1636042515805110273,"Gaia EDR3 4657686011556235648",4657686011556235648,1525185764,2016.0,84.73956963274368,0.045593612,-69.06346981944947,0.046036314,0.0059498803062127265,0.046785127,0.12717462,1.936386,1.7934707337762348,0.061554197,0.7301049640183749,0.06761532,0.03599613,-0.066273,-0.28060657,-0.030631956,0.114240095,0.003458711,-0.40700755,0.26695636,-0.30011508,-0.045094505,299,0,297,2,-0.40307862,455.33447,0.30114028,6.1486397,95,false,,1.7466122,0.013223459,-0.18711513,-0.08078821,-0.23846017,-0.021997578,0.1935195,34,26,0.09677458,40,15,0,0.017024785,33.440105,0,0,0.9821996,0.17709424,0.024622604,0.06550192,0.05695709,-61.925823,-3.210373,53.5365,-0.19781837,false,320,6156.389744309278,6.1282983,1004.58386,16.214052,34,4620.219637581104,21.522816,214.66614,16.176886,32,2437.101538540848,18.63225,130.80017,16.280712,0,34,0,32,0,1.1463408,-0.10382652,-0.037166595,-0.06665993,,,0,,,,279.4184448736096,-31.65380103456192,306.0265318299912,-86.80689669109145
1636042515805110273,"Gaia EDR3 4657686011581842304",4657686011581842304,260871501,2016.0,84.72859594387845,0.109812535,-69.06397568428136,0.106276214,0.3154546131892941,0.10575624,2.9828465,2.5685174,2.439254006264854,0.16307516,0.8045630017871483,0.15553434,0.07895538,-0.06794216,-0.33491987,-0.109950155,0.15755367,-0.053852286,-0.48482046,0.30353567,-0.29788476,-0.039613307,262,0,253,9,12.256983,703.908,0.8679379,20.808292,95,false,,1.6134671,0.029107008,-0.29573518,-0.047413178,-0.124110185,0.11406918,0.13630514,30,23,0.23181085,35,14,0,0.02863469,40.06161,16,5,1.5978333,0.16315824,0.07297603,0.07562968,0.093201734,-52.668247,-6.063647,-36.33241,-1.5306791,false,275,3425.7132809817567,10.191871,336.12213,16.850489,30,4345.722430433115,168.5547,25.782267,16.243387,29,4041.6610416957833,187.70073,21.532475,15.731496,0,30,0,29,0,2.4483612,0.51189137,-0.60710144,1.1189928,,,0,,,,279.41955307030867,-31.65764057047327,306.07374822148296,-86.80394567195175
1636042515805110273,"Gaia EDR3 4657686011582433152",4657686011582433152,103408816,2016.0,84.73874543003143,0.05672404,-69.06160117123952,0.05909954,0.14507077128775914,0.058837153,2.465632,1.6619322,1.6595692891596296,0.076464646,0.08859168667878195,0.08738879,0.09645991,-0.10538096,-0.3108071,-0.09553918,0.09713727,-0.0720919,-0.39958364,0.27557728,-0.28393844,0.04048182,281,0,279,2,6.9680386,546.40393,0.4009181,8.16307,95,false,,1.6201072,0.016340403,-0.23322117,-0.11561358,-0.20919035,0.048498593,0.21515834,32,25,0.12465502,38,15,0,0.013899363,64.53965,6,0,1.3112311,0.18638287,0.027782772,0.07462107,0.070763625,-79.980705,-51.015,58.46115,1.9935939,false,296,4894.081480462872,12.914707,378.95413,16.463188,36,3796.197341948798,50.21734,75.59535,16.390171,35,3413.142608298703,53.622566,63.651237,15.9150095,0,36,0,35,0,1.4730731,0.47516155,-0.07301712,0.5481787,,,0,,,,279.41630237672393,-31.654303511887665,306.05250321090085,-86.80811596262022
1636042515805110273,"Gaia EDR3 4657686015864613504",4657686015864613504,1132164131,2016.0,84.7239921534989,0.044397928,-69.0588963489632,0.049036756,0.01708064663767333,0.04893874,0.349021,1.8040049,1.6470217025807405,0.058836356,0.7360389542925965,0.07258369,-0.006077561,-0.1480493,-0.1555121,0.04793959,0.19796054,0.039258786,-0.4682582,0.2772963,-0.37237856,0.0038896408,291,0,289,2,-0.032025952,320.02493,0.113412395,0.619852,95,false,,1.3514045,0.013520278,-0.23664127,-0.027411789,-0.18511732,0.0142102465,0.14345044,33,24,0.10437921,39,14,0,0.015705837,1.6748346,0,0,0.99747705,0.24465,0.017950358,0.0416819,0.09841692,-67.16281,-74.26629,42.97871,8.651977,false,312,4402.012737854928,12.344556,356.59546,16.57824,35,1199.9126444808846,21.804174,55.031326,17.640669,38,4523.172009116792,30.58469,147.89008,15.609288,0,15,0,16,0,1.3001063,2.0313807,1.0624294,0.9689512,,,0,,,,279.4138410150801,-31.659846705761165,306.15582440937396,-86.80669975376682
1636042515805110273,"Gaia EDR3 4657686084583870720",4657686084583870720,494387069,2016.0,84.67674419875257,0.1251311,-69.0512011967072,0.13265759,-0.030154889593999257,0.13387594,-0.22524503,2.4344454,2.429223436910396,0.17087965,0.15936766504917715,0.17745276,-0.0446763,-0.051370148,-0.056135688,-0.054907884,0.041521933,-0.043810923,-0.41123542,0.25482535,-0.32286438,-0.1428481,299,0,296,3,45.630665,5925.3267,1.3375165,110.317726,95,false,,1.8135053,0.035944536,-0.1765359,-0.014061557,-0.23906906,0.0038033538,0.14938912,34,25,0.2645208,40,16,0,0.0037838183,153.5374,14,0,3.4028795,0.21821834,0.032722495,0.055275977,0.0936001,-56.278095,57.588417,46.07252,7.244917,false,292,5190.617120299671,5.8640637,885.157,16.399319,38,5190.147222552187,37.973732,136.6773,16.050592,37,3484.9797461796584,18.236385,191.10036,15.892395,0,38,0,37,0,1.6713094,0.1581974,-0.34872627,0.5069237,,,0,,,,279.4070967105214,-31.677496950715618,306.47464419575357,-86.80135714620847
1636042515805110273,"Gaia EDR3 4657686286410990464",4657686286410990464,1108938704,2016.0,84.63462685284604,0.025230274,-69.08995918100067,0.024195123,0.031890225355087946,0.024205206,1.3174944,1.8436179,1.7087542662233879,0.03478955,0.6921602676916343,0.032341897,0.038898032,-0.04788428,-0.18179616,-0.06572499,0.037637487,-0.05476408,-0.4170062,0.20740438,-0.20531966,-0.046102088,311,0,309,2,-2.7626338,591.1557,0.19295107,10.413555,95,false,,1.6947889,0.007310511,-0.16146058,-0.047195382,-0.1460132,0.048148546,0.08129445,35,25,0.048833262,41,16,0,0.01882755,32.757553,0,0,0.8888437,0.13774733,0.10805997,0.031842656,0.13122684,-61.42553,5.1196237,43.156696,-4.859573,false,330,26671.15626318373,25.008835,1066.4694,14.622262,35,22712.015957067117,190.55643,119.187874,14.447903,37,14675.58561459553,260.60712,56.313065,14.331407,0,1,0,1,0,1.4017991,0.116496086,-0.17435932,0.2908554,,,0,,,,279.4543579243502,-31.68803549091087,306.2203412129148,-86.76230927434852
1636042515805110273,"Gaia EDR3 4657686286410992768",4657686286410992768,1317781098,2016.0,84.64196760179162,0.04957451,-69.0876009372576,0.049030118,0.009773583574718527,0.047235154,0.20691334,1.7625177,1.5674925025963866,0.073117375,0.8058759504624331,0.06426725,0.03654863,-0.020002952,-0.26218978,-0.02171079,0.09026633,0.032195,-0.45155066,0.20239154,-0.16645396,-0.10834934,281,0,281,0,-3.1395867,308.947,0.0,0.0,95,false,,1.6946857,0.015611942,-0.15150991,-0.16785733,-0.23017448,-0.10373668,0.14707047,32,24,0.104336895,38,15,0,0.018235167,70.17223,0,0,0.868004,0.18948717,0.10630568,0.07534884,0.13590953,-80.41605,5.8133974,45.80418,-3.4923468,false,301,4775.533260563309,14.080601,339.15692,16.489813,34,12213.120483005778,228.72725,53.396,15.121475,32,9210.089055884646,83.79292,109.91488,14.837235,0,34,0,32,0,4.486035,0.28423977,-1.3683376,1.6525774,,,0,,,,279.45125295939897,-31.685701973016357,306.21291775602896,-86.76580934174508
1636042515805110273,"Gaia EDR3 4657686286410997504",4657686286410997504,202855032,2016.0,84.6540322087993,0.018468454,-69.08551742101358,0.017341599,-0.013360339039210864,0.017321462,-0.77131706,1.9226758,1.7654307206740496,0.025798377,0.7615358860801996,0.02353294,0.039219562,-0.14357345,-0.0798403,-0.109725274,0.028452765,-0.11121977,-0.40662873,0.18100575,-0.16834609,-0.05215345,293,293,291,2,1.7029735,1024.009,0.16199437,22.875864,31,false,1.6964529,,,,,,,,33,24,0.036000863,39,15,0,0.027901199,45.407677,0,0,1.0708507,,,,,,,,,false,310,297725.8264152027,332.3888,895.7156,12.002826,36,203909.52124704496,798.6249,255.32578,12.064948,35,154538.05339347525,570.7111,270.78156,11.775307,0,0,0,1,0,1.203952,0.28964138,0.062122345,0.22751904,,,0,,,,279.4482433159284,-31.681661153986703,306.1797236786742,-86.77021219084067
1636042515805110273,"Gaia EDR3 4657686286459744000",4657686286459744000,955208532,2016.0,84.636634058282,0.048042994,-69.09025225775623,0.04699238,0.05095866800184983,0.046424754,1.0976616,1.9786232,1.817372119752618,0.06733111,0.7823735593845351,0.060117487,0.04715903,-0.022906428,-0.18650872,-0.055679787,0.09284369,-0.032065235,-0.43781853,0.20950438,-0.16940665,-0.031132998,288,0,287,1,0.6922078,423.67395,0.25270516,3.548068,95,false,,1.6767913,0.0139154615,-0.19336009,-0.09485418,-0.2018147,0.05459916,0.084475726,33,25,0.094082616,39,15,0,0.017520947,34.09117,0,0,1.0281432,0.11285037,0.089387,0.09251843,0.13044715,-62.61653,1.9052119,49.10705,0.7515836,false,299,5737.809057440157,11.954038,479.9892,16.290503,20,8384.168468864556,623.2083,13.453236,15.529892,20,6092.343388448287,534.4347,11.399603,15.285934,0,12,0,15,0,2.5230033,0.24395752,-0.7606106,1.0045681,,,0,,,,279.45460386730065,-31.68729031797598,306.2073777133391,-86.762560409669
1636042515805110273,"Gaia EDR3 4657686286459752064",4657686286459752064,1180715117,2016.0,84.64494628155153,0.07623087,-69.08348627673332,0.0720463,-0.03939105079288178,0.07159204,-0.55021554,1.3741529,1.2680156283296384,0.103334144,0.5295587852821048,0.09191884,0.14069928,-0.10181145,-0.1766481,-0.088434115,0.07100324,-0.07169572,-0.45388022,0.1678087,-0.17254892,0.052375954,253,0,252,1,2.0769453,382.77707,0.4022753,4.3906097,95,false,,1.6840408,0.021877794,-0.0704668,-0.038323663,-0.18229146,0.11669918,0.09181098,29,22,0.1453921,35,14,0,0.027146537,38.563137,0,0,1.093686,0.12226052,0.16758245,0.16733521,0.23214948,-3.4360588,-16.013885,49.33622,-0.539283,false,271,3413.5205905733715,11.800929,289.25864,16.85436,33,8390.901851253444,233.27304,35.970303,15.52902,32,5940.436214702502,220.4347,26.948736,15.31335,0,28,0,28,0,4.198404,0.21567059,-1.3253403,1.5410109,,,0,,,,279.44630654985235,-31.685115157762326,306.24678701944646,-86.76960593722265
