ra,ra_error,dec,dec_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmdec_corr,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,ruwe,phot_g_mean_mag,bp_rp,dr2_radial_velocity
84.28814247653364,0.033310268,-69.23650653346787,0.032783557,1.940305,1.8483641342635886,0.049865685,0.5901977025323597,0.042705126,0.12272706,-0.05185923,-0.17140047,-0.16401914,-0.3901101,-0.09316024,289,1,0.95188546,16.059582,0.11309528,
84.2538127979309,0.01712007,-69.22085304352248,0.016462417,1.6684607,1.53182176080445,0.024126828,0.661274000060719,0.02111202,0.07462056,0.019165793,-0.13452342,-0.104575984,-0.29219812,-0.1832386,311,2,1.0297521,14.501822,2.3855238,
84.26312357911056,0.051744662,-69.23183242672027,0.048590824,1.7572957,1.7231151011933943,0.08184083,0.3449094407165615,0.06427287,0.11501958,-0.012550483,-0.08560798,-0.07360979,-0.31154445,-0.16011032,294,2,1.014021,16.860624,3.4769735,
84.27139673950423,0.032411862,-69.23506578587094,0.03132984,1.6028438,1.5041263020834397,0.048135426,0.5538160638586686,0.040277492,0.091374554,-0.03526143,-0.12926525,-0.11349087,-0.34393698,-0.13396713,300,0,0.9626894,16.03113,0.18577576,
84.28766184232633,0.03317879,-69.21886708366897,0.033252764,1.6351297,1.5737058442594067,0.049083002,0.44395829016903854,0.042901494,0.100052014,0.013020169,-0.13117489,-0.1018729,-0.352615,-0.15652984,314,0,1.0135072,16.175575,0.24635887,
84.32312911778034,0.023139354,-69.22886942863164,0.022791177,1.597505,1.5300984115057488,0.033584323,0.459152538503139,0.03062443,0.079101235,0.008541119,-0.13306451,-0.10662555,-0.26092237,-0.114507504,305,1,1.0103217,15.281467,0.10498047,
84.32346934241977,0.02340875,-69.21326849707184,0.021977343,1.8406501,1.7574491175755884,0.032712076,0.5471427416670641,0.030071015,0.13754891,-0.08854588,-0.18705222,-0.16700612,-0.32513085,-0.05949652,277,0,0.98341864,15.118199,2.4067678,
84.2508500404409,0.045158673,-69.21719688623213,0.044836935,2.0589597,1.9649038850317933,0.06691773,0.6151974121071319,0.058736946,0.10775531,0.037377134,-0.13677983,-0.10647079,-0.3244843,-0.17075798,313,3,0.9596677,16.708298,1.9433613,
84.26155800838627,0.2010578,-69.2207267635887,0.19533479,1.7037736,-0.2592438243605579,0.27821478,1.6839350144369116,0.2560487,0.04173779,0.106279135,-0.14981207,-0.1168868,-0.26900664,-0.21591067,315,1,8.441894,15.524223,0.22637177,
84.26903494629335,0.034915287,-69.21852782605879,0.034469765,9.700134,4.983567270499473,0.051429473,8.322058245719056,0.044878684,0.10786043,0.024075096,-0.13434614,-0.1062476,-0.31848037,-0.15064713,313,0,1.01992,16.265036,0.943182,
